cluster_id,category,function,source_argument,target_argument,alpha,semantic_delta,semantic_top1,control_delta,control_top1,control_kind,paired_delta
db9615f3b48e8d54,months,next_month,October,July,0.5,0.5,False,0.0,False,random_delta_matched,0.5
db9615f3b48e8d54,months,next_month,October,July,1.0,0.375,False,-0.4375,False,random_delta_matched,0.8125
db9615f3b48e8d54,months,next_month,October,July,2.0,-18.9375,False,0.125,False,random_delta_matched,-19.0625
27a81a1d0a634ac9,animals,habitat,shark,eagle,0.5,1.3125,False,-0.5,False,random_delta_matched,1.8125
27a81a1d0a634ac9,animals,habitat,shark,eagle,1.0,0.3750004768371582,False,0.3125004768371582,False,random_delta_matched,0.0625
27a81a1d0a634ac9,animals,habitat,shark,eagle,2.0,-10.75,False,-1.0625,False,random_delta_matched,-9.6875
27a81a1d0a634ac9,animals,habitat,shark,spider,0.5,0.09375,False,-0.09375,False,random_delta_matched,0.1875
27a81a1d0a634ac9,animals,habitat,shark,spider,1.0,0.15625,False,0.125,False,random_delta_matched,0.03125
27a81a1d0a634ac9,animals,habitat,shark,spider,2.0,-1.7656230926513672,False,0.21875,False,random_delta_matched,-1.9843730926513672
aac28741303483ad,animals,class,lion,eagle,0.5,0.6875,False,-0.0625,False,random_delta_matched,0.75
aac28741303483ad,animals,class,lion,eagle,1.0,0.375,False,-0.125,False,random_delta_matched,0.5
aac28741303483ad,animals,class,lion,eagle,2.0,-9.953125,False,0.6875,False,random_delta_matched,-10.640625
aac28741303483ad,animals,class,lion,shark,0.5,1.25,False,-0.1875,False,random_delta_matched,1.4375
aac28741303483ad,animals,class,lion,shark,1.0,1.0625,False,0.0,False,random_delta_matched,1.0625
aac28741303483ad,animals,class,lion,shark,2.0,-6.23046875,False,0.25,False,random_delta_matched,-6.48046875
2cebf5690d17307f,animals,class,eagle,lion,0.5,0.875,False,-0.0625,False,random_delta_matched,0.9375
2cebf5690d17307f,animals,class,eagle,lion,1.0,0.625,False,0.625,False,random_delta_matched,0.0
2cebf5690d17307f,animals,class,eagle,lion,2.0,-11.796875,False,1.0625,False,random_delta_matched,-12.859375
2cebf5690d17307f,animals,class,eagle,shark,0.5,1.5,False,0.1875,False,random_delta_matched,1.3125
2cebf5690d17307f,animals,class,eagle,shark,1.0,0.75,False,-0.5,False,random_delta_matched,1.25
2cebf5690d17307f,animals,class,eagle,shark,2.0,-18.0,False,0.375,False,random_delta_matched,-18.375
9c74191307a91873,animals,class,shark,lion,0.5,0.1249995231628418,False,0.2499995231628418,False,random_delta_matched,-0.125
9c74191307a91873,animals,class,shark,lion,1.0,0.0624995231628418,False,0.125,False,random_delta_matched,-0.0625004768371582
9c74191307a91873,animals,class,shark,lion,2.0,-6.242187976837158,False,1.8124995231628418,False,random_delta_matched,-8.0546875
9c74191307a91873,animals,class,shark,eagle,0.5,1.4375,False,0.5625,False,random_delta_matched,0.875
9c74191307a91873,animals,class,shark,eagle,1.0,0.375,False,0.8125,False,random_delta_matched,-0.4375
9c74191307a91873,animals,class,shark,eagle,2.0,-13.375,False,2.375,False,random_delta_matched,-15.75
d453661d9be37064,animals,group,lion,spider,0.5,0.5,False,-0.1875,False,random_delta_matched,0.6875
d453661d9be37064,animals,group,lion,spider,1.0,0.25,False,0.0,False,random_delta_matched,0.25
d453661d9be37064,animals,group,lion,spider,2.0,6.6875,False,1.09375,False,random_delta_matched,5.59375
ce55a447b231c182,numbers,double,three,five,0.5,0.0,False,0.0,False,random_delta_matched,0.0
ce55a447b231c182,numbers,double,three,five,1.0,0.0,False,0.125,False,random_delta_matched,-0.125
ce55a447b231c182,numbers,double,three,five,2.0,7.3125,False,-0.0625,False,random_delta_matched,7.375
ce55a447b231c182,numbers,double,three,seven,0.5,-0.0625,False,0.0625,False,random_delta_matched,-0.125
ce55a447b231c182,numbers,double,three,seven,1.0,0.0625,False,0.0,False,random_delta_matched,0.0625
ce55a447b231c182,numbers,double,three,seven,2.0,4.625,False,-0.1875,False,random_delta_matched,4.8125
ce55a447b231c182,numbers,double,three,nine,0.5,4.76837158203125e-07,False,0.0625009536743164,False,random_delta_matched,-0.0625004768371582
ce55a447b231c182,numbers,double,three,nine,1.0,0.125,False,0.1250004768371582,False,random_delta_matched,-4.76837158203125e-07
ce55a447b231c182,numbers,double,three,nine,2.0,3.500000476837158,False,0.0,False,random_delta_matched,3.500000476837158
658a280593b5216b,numbers,double,five,three,0.5,0.4375,False,0.0625,False,random_delta_matched,0.375
658a280593b5216b,numbers,double,five,three,1.0,0.1875,False,0.1875,False,random_delta_matched,0.0
658a280593b5216b,numbers,double,five,three,2.0,-0.375,False,-0.6875,False,random_delta_matched,0.3125
658a280593b5216b,numbers,double,five,seven,0.5,0.3125,False,-0.125,False,random_delta_matched,0.4375
658a280593b5216b,numbers,double,five,seven,1.0,0.25,False,0.0625,False,random_delta_matched,0.1875
658a280593b5216b,numbers,double,five,seven,2.0,-8.078125,False,0.0,False,random_delta_matched,-8.078125
658a280593b5216b,numbers,double,five,nine,0.5,0.3749995231628418,False,-0.1875,False,random_delta_matched,0.5624995231628418
658a280593b5216b,numbers,double,five,nine,1.0,0.3125004768371582,False,0.25,False,random_delta_matched,0.0625004768371582
658a280593b5216b,numbers,double,five,nine,2.0,-4.109375,False,-0.5,False,random_delta_matched,-3.609375
6a18153d075f2047,numbers,double,nine,three,0.5,0.1875,False,-0.1875,False,random_delta_matched,0.375
6a18153d075f2047,numbers,double,nine,three,1.0,0.0,False,-0.125,False,random_delta_matched,0.125
6a18153d075f2047,numbers,double,nine,three,2.0,7.5,False,-0.125,False,random_delta_matched,7.625
6a18153d075f2047,numbers,double,nine,five,0.5,0.125,False,0.0,False,random_delta_matched,0.125
6a18153d075f2047,numbers,double,nine,five,1.0,0.0,False,-0.125,False,random_delta_matched,0.125
6a18153d075f2047,numbers,double,nine,five,2.0,15.75,False,-0.0625,False,random_delta_matched,15.8125
6a18153d075f2047,numbers,double,nine,seven,0.5,0.0625,False,0.0,False,random_delta_matched,0.0625
6a18153d075f2047,numbers,double,nine,seven,1.0,0.1875,False,0.25,False,random_delta_matched,-0.0625
6a18153d075f2047,numbers,double,nine,seven,2.0,10.515625,False,-0.125,False,random_delta_matched,10.640625
f766d04f13bde60a,numbers,square,three,five,0.5,-0.0625,False,-0.0625,False,random_delta_matched,0.0
f766d04f13bde60a,numbers,square,three,five,1.0,0.0625,False,-0.125,False,random_delta_matched,0.1875
f766d04f13bde60a,numbers,square,three,five,2.0,3.453125,False,0.0,False,random_delta_matched,3.453125
f766d04f13bde60a,numbers,square,three,seven,0.5,0.0625,False,0.0625,False,random_delta_matched,0.0
f766d04f13bde60a,numbers,square,three,seven,1.0,0.25,False,0.125,False,random_delta_matched,0.125
f766d04f13bde60a,numbers,square,three,seven,2.0,12.625,False,0.3125,False,random_delta_matched,12.3125
f766d04f13bde60a,numbers,square,three,nine,0.5,0.0624995231628418,False,0.1249995231628418,False,random_delta_matched,-0.0625
f766d04f13bde60a,numbers,square,three,nine,1.0,0.1874990463256836,False,0.0624995231628418,False,random_delta_matched,0.1249995231628418
f766d04f13bde60a,numbers,square,three,nine,2.0,25.124996185302734,False,-0.2500004768371582,False,random_delta_matched,25.374996662139893
5dd9104ecfbf1876,numbers,successor,three,five,0.5,0.125,False,0.0,False,random_delta_matched,0.125
5dd9104ecfbf1876,numbers,successor,three,five,1.0,0.1875,False,0.0625,False,random_delta_matched,0.125
5dd9104ecfbf1876,numbers,successor,three,five,2.0,17.984375,False,0.1875,False,random_delta_matched,17.796875
5dd9104ecfbf1876,numbers,successor,three,seven,0.5,4.76837158203125e-07,False,0.0625,False,random_delta_matched,-0.0624995231628418
5dd9104ecfbf1876,numbers,successor,three,seven,1.0,0.1249995231628418,False,-4.76837158203125e-07,False,random_delta_matched,0.125
5dd9104ecfbf1876,numbers,successor,three,seven,2.0,-10.875001907348633,False,0.0625004768371582,False,random_delta_matched,-10.937502384185791
5dd9104ecfbf1876,numbers,successor,three,nine,0.5,0.0625,False,0.0625,False,random_delta_matched,0.0
5dd9104ecfbf1876,numbers,successor,three,nine,1.0,0.0625,False,0.0,False,random_delta_matched,0.0625
5dd9104ecfbf1876,numbers,successor,three,nine,2.0,-10.843748092651367,False,-0.1875,False,random_delta_matched,-10.656248092651367
f68195b85172fc4f,numbers,successor,five,three,0.5,0.375,False,0.0,False,random_delta_matched,0.375
f68195b85172fc4f,numbers,successor,five,three,1.0,0.3125,False,0.25,False,random_delta_matched,0.0625
f68195b85172fc4f,numbers,successor,five,three,2.0,-6.550782203674316,False,-0.5,False,random_delta_matched,-6.050782203674316
