artifact,configuration_id,position_mask,operation,control,alpha,n_eligible,n_scenarios,mean_target_logodds_gain,gain_ci_low,gain_ci_high,positive_gain_fraction,target_top1_fraction,mean_output_kl_nats,mean_delta_rms_ratio,median_condition_number,high_cosine_fraction,maximum_absolute_cosine,minimum_function_effect,positive_function_count,layers
layer_sweep,layer_51,all_prompt_positions,pseudoinverse_coordinate_swap,semantic,1.0,33,11,7.980113632751234,5.948768935871848,10.41995738284154,1.0,0.3333333333333333,2.3660614073953847,0.1068770063645908,1.510724544525146,0.0,0.45010143518447804,5.546875,3,[51]
layer_sweep,layer_52,all_prompt_positions,pseudoinverse_coordinate_swap,semantic,1.0,33,11,6.569128784266385,5.138328594872446,8.095691284176075,1.0,0.21212121212121213,1.393497386326392,0.11718715095158733,1.5450682640075681,0.0,0.48352444171905506,4.75,3,[52]
position_sweep,layer_32__all_prompt_positions,all_prompt_positions,pseudoinverse_coordinate_swap,semantic,1.0,33,11,11.854166666666666,9.186292613636365,14.659872159090904,1.0,0.7575757575757576,5.146804835816676,0.07279349863529151,2.734405755996704,0.0,0.7866466641426081,8.916666666666666,3,[32]
position_sweep,layer_32__argument_through_end,argument_through_end,pseudoinverse_coordinate_swap,semantic,1.0,33,11,11.844696969696969,9.162807765151515,14.671661931818182,1.0,0.7575757575757576,5.145058618237575,0.10324145210060161,2.734405755996704,0.0,0.7866466641426081,8.88888888888889,3,[32]
position_sweep,layer_32__argument_token_position,argument_token_position,pseudoinverse_coordinate_swap,semantic,1.0,33,11,7.182765137065541,3.13248104615645,11.342069128787875,0.9696969696969697,0.30303030303030304,2.3820161104337205,0.15705088523188282,2.734405755996704,0.0,0.7866466641426081,0.4374999602635701,3,[32]
position_sweep,layer_32__final_prompt_position,final_prompt_position,pseudoinverse_coordinate_swap,semantic,1.0,33,11,0.1098484414996522,0.015151514790274878,0.20454542600747305,0.696969696969697,0.0,0.0011238749079476998,0.035413980145345456,2.734405755996704,0.0,0.7866466641426081,0.02083329359690342,3,[32]
position_sweep,layer_33__all_prompt_positions,all_prompt_positions,pseudoinverse_coordinate_swap,semantic,1.0,33,11,11.776515151515152,9.221235795454547,14.574029356060606,1.0,0.7272727272727273,5.170167004717796,0.07610145956277803,2.227025032043457,0.0,0.7041747570037841,8.70138888888889,3,[33]
position_sweep,layer_33__argument_through_end,argument_through_end,pseudoinverse_coordinate_swap,semantic,1.0,33,11,11.78314393939394,9.206439393939394,14.593016098484847,1.0,0.7272727272727273,5.171642954545942,0.10896502852891388,2.227025032043457,0.0,0.7041747570037841,8.70138888888889,3,[33]
position_sweep,layer_33__argument_token_position,argument_token_position,pseudoinverse_coordinate_swap,semantic,1.0,33,11,6.887310620510217,3.088660051967159,10.86212121212121,0.9696969696969697,0.2727272727272727,2.305465267117446,0.15849976568962543,2.227025032043457,0.0,0.7041747570037841,0.4479167064030965,3,[33]
position_sweep,layer_33__final_prompt_position,final_prompt_position,pseudoinverse_coordinate_swap,semantic,1.0,33,11,0.1505681637561682,0.041666652126745723,0.27840907311800756,0.7878787878787878,0.0,0.0014690815865334695,0.04073463438191588,2.227025032043457,0.0,0.7041747570037841,0.031249960263570086,3,[33]
position_sweep,layer_34__all_prompt_positions,all_prompt_positions,pseudoinverse_coordinate_swap,semantic,1.0,33,11,11.887310606060606,9.214725378787879,14.858522727272723,1.0,0.7272727272727273,5.13452976981573,0.08116711495500567,2.07620620727539,0.0,0.6704385280609131,8.777777777777779,3,[34]
position_sweep,layer_34__argument_through_end,argument_through_end,pseudoinverse_coordinate_swap,semantic,1.0,33,11,11.885416666666666,9.21534090909091,14.879024621212121,1.0,0.7272727272727273,5.143429822881114,0.11463886025277004,2.07620620727539,0.0,0.6704385280609131,8.729166666666666,3,[34]
position_sweep,layer_34__argument_token_position,argument_token_position,pseudoinverse_coordinate_swap,semantic,1.0,33,11,6.25094696969697,2.94580965909091,9.485203598484848,0.9393939393939394,0.30303030303030304,2.3160398437660965,0.14857398588774734,2.07620620727539,0.0,0.6704385280609131,0.4322916666666667,3,[34]
position_sweep,layer_34__final_prompt_position,final_prompt_position,pseudoinverse_coordinate_swap,semantic,1.0,33,11,0.2689393903269912,0.1174242422436223,0.4687499928655046,0.8787878787878788,0.0,0.0021575830167306345,0.055615742817859276,2.07620620727539,0.0,0.6704385280609131,0.10416666666666667,3,[34]
strength_sweep,layer_32__all_prompt_positions__alpha_0.25,all_prompt_positions,pseudoinverse_coordinate_swap,semantic,0.25,33,11,0.5208333297209307,0.40719696238185404,0.6562499893434118,0.9696969696969697,0.0,0.0023310716254244467,0.018192604635700514,2.734405755996704,0.0,0.7866466641426081,0.4791666666666667,3,[32]
strength_sweep,layer_32__all_prompt_positions__alpha_0.5,all_prompt_positions,pseudoinverse_coordinate_swap,semantic,0.5,33,11,1.853219707806905,1.3844223590511266,2.446070075757576,1.0,0.030303030303030304,0.06659287775189313,0.036385209666508066,2.734405755996704,0.0,0.7866466641426081,1.6822916666666667,3,[32]
strength_sweep,layer_32__all_prompt_positions__alpha_1,all_prompt_positions,pseudoinverse_coordinate_swap,semantic,1.0,33,11,11.847537878787879,9.173177083333334,14.649337121212117,1.0,0.7575757575757576,5.1529112868575435,0.07277041899435396,2.734405755996704,0.0,0.7866466641426081,8.909722222222221,3,[32]
strength_sweep,layer_32__all_prompt_positions__alpha_1.5,all_prompt_positions,pseudoinverse_coordinate_swap,semantic,1.5,33,11,15.659564393939394,12.963873106060609,18.57868134469697,1.0,0.9393939393939394,6.639769998463717,0.10915562860441885,2.734405755996704,0.0,0.7866466641426081,12.006944444444445,3,[32]
strength_sweep,layer_32__all_prompt_positions__alpha_2,all_prompt_positions,pseudoinverse_coordinate_swap,semantic,2.0,33,11,16.550189379489783,13.918394828926433,19.41695075757576,1.0,0.9393939393939394,6.7361579988942,0.1455408379887085,2.734405755996704,0.0,0.7866466641426081,12.854166613684761,3,[32]
strength_sweep,layer_34__all_prompt_positions__alpha_0.25,all_prompt_positions,pseudoinverse_coordinate_swap,semantic,0.25,33,11,0.5530302994179003,0.4308475105148372,0.6950757684129657,0.9696969696969697,0.0,0.0023424521266745798,0.020281249544385153,2.07620620727539,0.0,0.6704385280609131,0.515625,3,[34]
strength_sweep,layer_34__all_prompt_positions__alpha_0.5,all_prompt_positions,pseudoinverse_coordinate_swap,semantic,0.5,33,11,1.9176136327512336,1.4706439389423893,2.461245265061205,1.0,0.030303030303030304,0.046866671025230455,0.040562499201658456,2.07620620727539,0.0,0.6704385280609131,1.8125,3,[34]
strength_sweep,layer_34__all_prompt_positions__alpha_1,all_prompt_positions,pseudoinverse_coordinate_swap,semantic,1.0,33,11,11.888257561307965,9.211126837224674,14.858522727272728,1.0,0.7272727272727273,5.144801293810208,0.08112499885486785,2.07620620727539,0.0,0.6704385280609131,8.777777724795872,3,[34]
strength_sweep,layer_34__all_prompt_positions__alpha_1.5,all_prompt_positions,pseudoinverse_coordinate_swap,semantic,1.5,33,11,15.708806818181818,13.02253787878788,18.632859848484845,1.0,0.9393939393939394,6.645947649623409,0.12168749760497641,2.07620620727539,0.0,0.6704385280609131,12.041666666666666,3,[34]
strength_sweep,layer_34__all_prompt_positions__alpha_2,all_prompt_positions,pseudoinverse_coordinate_swap,semantic,2.0,33,11,16.611742424242426,13.914749053030306,19.466098484848484,1.0,0.9393939393939394,6.724201836369255,0.16224999770973625,2.07620620727539,0.0,0.6704385280609131,12.902777777777779,3,[34]
strength_sweep,layer_34__argument_through_end__alpha_0.25,argument_through_end,pseudoinverse_coordinate_swap,semantic,0.25,33,11,0.5454545346173373,0.4337121246439038,0.6789772549361893,0.9696969696969697,0.0,0.0022373786310759375,0.02863844636488988,2.07620620727539,0.0,0.6704385280609131,0.5052083333333334,3,[34]
strength_sweep,layer_34__argument_through_end__alpha_0.5,argument_through_end,pseudoinverse_coordinate_swap,semantic,0.5,33,11,1.923295436483441,1.4857481060606061,2.459303962823116,1.0,0.030303030303030304,0.04755721851005028,0.05727689329421828,2.07620620727539,0.0,0.6704385280609131,1.8125,3,[34]
